# date and time: 2022-05-23T13:05:38.809
# host: surt2.cs.umt.edu with 20  processes: 
# 5420.143231 seconds
# funcs: Func[Func(&, 2, "AND"), Func(|, 2, "OR"), Func(xor, 2, "XOR"), Func(Main.CGP.Nand, 2, "NAND"), Func(Main.CGP.Nor, 2, "NOR")]
# use_lincircuit: false
# maxreps: 200
# iter_maxreps: 100
# numinputs: 4
# numoutputs: 1
# numinteriors: 11
# numlevelsback: 8
# max_steps: 600000
goal,numinputs,numoutputs,numints,numlevsback,maxsteps,ntries,nsuccesses,avg_steps,log_avg_steps,robustness,evo_count,nactive,complexity,degeneracy,sumsteps,sumtries
UInt16[0x0f5f],4,1,11,8,600000,100.0,100.0,369.11,2.566023435285751,0.5514325842696629,1052.0,6.35,4.654641927365075,2.7384334813659708,0.0,0.0
UInt16[0x0f8a],4,1,11,8,600000,100.0,100.0,5919.02,3.772203919189339,0.39707865168539325,1899.0,7.555,5.654634150923886,2.735784553327872,0.0,0.0
UInt16[0x0fe6],4,1,11,8,600000,100.0,100.0,10306.215,4.008347559703267,0.32932584269662923,2870.0,8.01,6.381860288216499,2.6234487342792514,0.0,0.0
UInt16[0x1088],4,1,11,8,600000,100.0,100.0,7255.71,3.8606726124170416,0.41087078651685394,1846.0,7.385,5.505303938119415,1.8906383717160342,0.0,0.0
UInt16[0x10a4],4,1,11,8,600000,100.0,100.0,7045.85,3.8469619837277746,0.35511235955056175,2189.0,7.8149999999999995,6.321712208284939,2.168402252786479,0.0,0.0
UInt16[0x124b],4,1,11,8,600000,100.0,100.0,6860.29,3.836298221460848,0.3256741573033708,2961.0,8.03,6.483878205397211,2.412967836004288,0.0,0.0
UInt16[0x12e9],4,1,11,8,600000,100.0,100.0,15151.18,4.179961261145661,0.29893258426966296,3361.0,8.235,7.104518828705638,2.3938996420493166,0.0,0.0
UInt16[0x130b],4,1,11,8,600000,100.0,100.0,15762.125,4.196179223823677,0.2984550561797753,2911.0,8.355,6.46468211537176,2.6766936811780777,0.0,0.0
UInt16[0x1312],4,1,11,8,600000,100.0,100.0,4167.415,3.6171596254019605,0.3976123595505618,1706.0,7.585,5.412062850245059,2.4736431784764026,0.0,0.0
UInt16[0x13c2],4,1,11,8,600000,100.0,100.0,9677.47,3.9818224126510917,0.280561797752809,3532.0,8.46,7.101127328390157,2.4925977067395526,0.0,0.0
UInt16[0x14cb],4,1,11,8,600000,100.0,100.0,11257.135,4.049220845095117,0.30814606741573036,3232.0,8.16,6.955476909529891,2.4801479757905778,0.0,0.0
UInt16[0x154e],4,1,11,8,600000,100.0,100.0,16733.86,4.223574715110553,0.2832303370786517,3076.0,8.49,6.8806556933178555,2.69659167732664,0.0,0.0
UInt16[0x1633],4,1,11,8,600000,100.0,100.0,7558.15,3.878413655203671,0.33331460674157304,3011.0,8.045,6.434414879983288,2.408158345868776,0.0,0.0
UInt16[0x164d],4,1,11,8,600000,100.0,100.0,23733.03,4.363743722620373,0.24786516853932583,3986.0,8.75,7.340217427016974,2.6573489582025394,0.0,0.0
UInt16[0x16e3],4,1,11,8,600000,100.0,100.0,16553.25,4.217933930599992,0.24146067415730338,4119.0,8.850000000000001,7.8215478437883785,2.4459007005273756,0.0,0.0
UInt16[0x16f0],4,1,11,8,600000,100.0,100.0,6843.41,3.8332820924764484,0.33620786516853934,2735.0,7.99,6.552689204254916,2.5209915969586034,0.0,0.0
UInt16[0x17d2],4,1,11,8,600000,100.0,100.0,25379.940000000002,4.404331514778979,0.21337078651685393,4812.0,9.125,7.789915740959145,2.594322967691622,0.0,0.0
UInt16[0x187c],4,1,11,8,600000,100.0,100.0,15465.17,4.1853406080750375,0.2637640449438202,3528.0,8.68,7.064141445292975,2.7013397537668298,0.0,0.0
UInt16[0x18cf],4,1,11,8,600000,100.0,100.0,13296.11,4.123484261553276,0.2742977528089887,3525.0,8.61,7.228471143618139,2.6279000174409006,0.0,0.0
UInt16[0x1958],4,1,11,8,600000,100.0,100.0,11790.465,4.071529852558356,0.2793258426966292,3357.0,8.5,7.078096411774061,2.480288474323002,0.0,0.0
UInt16[0x196c],4,1,11,8,600000,100.0,100.0,12937.69,4.11061404337248,0.27390449438202247,3345.0,8.56,7.365809315420014,2.4681470377850774,0.0,0.0
UInt16[0x1a7a],4,1,11,8,600000,100.0,100.0,18403.665,4.264845676950106,0.2997752808988764,3075.0,8.31,6.464944340213216,2.6913694919575244,0.0,0.0
UInt16[0x1b16],4,1,11,8,600000,100.0,100.0,14463.895,4.160022533372008,0.27724719101123596,3305.0,8.475,7.067868077825672,2.518624872847848,0.0,0.0
UInt16[0x1b4d],4,1,11,8,600000,100.0,100.0,9329.485,3.9693969088879766,0.300814606741573,3136.0,8.27,6.732126406287121,2.719500322564502,0.0,0.0
UInt16[0x1b58],4,1,11,8,600000,100.0,100.0,15948.535,4.20266768157685,0.25213483146067417,4131.0,8.754999999999999,7.370794175599681,2.5959668464993633,0.0,0.0
UInt16[0x1b91],4,1,11,8,600000,100.0,100.0,9576.775,3.9811327708135815,0.3071067415730337,2764.0,8.25,6.661261691793692,2.6480887118748004,0.0,0.0
UInt16[0x1c4c],4,1,11,8,600000,100.0,100.0,3077.75,3.488175563267176,0.42985955056179775,1602.0,7.07,5.42181825169027,2.4081517504452776,0.0,0.0
UInt16[0x1e63],4,1,11,8,600000,100.0,100.0,16453.265,4.2159009180264375,0.24106741573033708,4178.0,8.85,7.679490084951729,2.4459454761246766,0.0,0.0
UInt16[0x20c0],4,1,11,8,600000,100.0,100.0,2435.085,3.3862638550680324,0.4499719101123596,1648.0,7.0600000000000005,4.8458732696635405,1.930824068861097,0.0,0.0
UInt16[0x213c],4,1,11,8,600000,100.0,100.0,6505.805,3.811347059552471,0.33851123595505617,2731.0,7.955,6.437811403702573,2.4225357840344497,0.0,0.0
UInt16[0x217f],4,1,11,8,600000,100.0,100.0,7871.889999999999,3.895315332064329,0.33879213483146065,2576.0,7.995,6.292452132603859,2.7063895715560666,0.0,0.0
UInt16[0x21b9],4,1,11,8,600000,100.0,100.0,10909.16,4.029829574315302,0.31867977528089886,2778.0,8.085,6.511556351118376,2.659317667311484,0.0,0.0
UInt16[0x21e9],4,1,11,8,600000,100.0,100.0,8905.86,3.9496748774750414,0.3342696629213483,2447.0,7.99,6.596170533169644,2.5402789193979816,0.0,0.0
UInt16[0x2396],4,1,11,8,600000,100.0,100.0,14608.57,4.164580277104907,0.2811797752808989,3753.0,8.43,7.094133015385247,2.3212727505115236,0.0,0.0
UInt16[0x23bb],4,1,11,8,600000,100.0,100.0,4155.015,3.6162229530213734,0.4021348314606742,1915.0,7.325,5.50884952309155,2.685028027636604,0.0,0.0
UInt16[0x23e4],4,1,11,8,600000,100.0,100.0,16393.46,4.211613151745165,0.24735955056179776,4085.0,8.745000000000001,7.288669006697546,2.60972575661616,0.0,0.0
UInt16[0x2451],4,1,11,8,600000,100.0,100.0,16995.78,4.22930573051452,0.2842415730337079,3585.0,8.395,7.085554803930079,2.265093997314114,0.0,0.0
UInt16[0x2455],4,1,11,8,600000,100.0,100.0,9162.7,3.9620037542409126,0.3566011235955056,2368.0,7.775,6.16841103487662,2.499312099753706,0.0,0.0
UInt16[0x248c],4,1,11,8,600000,100.0,100.0,5989.82,3.7771520402995655,0.3198033707865169,2538.0,8.135,6.5576693137431,2.3658093313594444,0.0,0.0
UInt16[0x24ee],4,1,11,8,600000,100.0,100.0,8558.375,3.9315037672110713,0.3106460674157303,2551.0,8.26,6.493226551494805,2.7200278723716647,0.0,0.0
UInt16[0x2568],4,1,11,8,600000,100.0,100.0,21138.86,4.322385114766654,0.245,4532.0,8.795000000000002,7.82633078722433,2.4677244713198734,0.0,0.0
UInt16[0x2590],4,1,11,8,600000,100.0,100.0,13932.73,4.1440137909943955,0.27202247191011236,3584.0,8.52,7.358777903309351,2.3475093951621515,0.0,0.0
UInt16[0x25d1],4,1,11,8,600000,100.0,100.0,25983.425000000003,4.41270286365679,0.24699438202247193,4106.0,8.765,7.357639228573968,2.4782456952974132,0.0,0.0
UInt16[0x2636],4,1,11,8,600000,100.0,100.0,6643.085,3.821343034169456,0.37365168539325844,2313.0,7.655,5.962005289803258,2.4748708908858923,0.0,0.0
UInt16[0x2707],4,1,11,8,600000,100.0,100.0,3444.1949999999997,3.531259068799846,0.44078651685393255,1482.0,7.025,5.261264464136994,2.680980922556458,0.0,0.0
UInt16[0x2751],4,1,11,8,600000,100.0,100.0,10568.805,4.016879316845622,0.2976404494382022,2904.0,8.309999999999999,6.820148135828594,2.644612428460019,0.0,0.0
UInt16[0x2815],4,1,11,8,600000,100.0,100.0,5768.25,3.7610390960176074,0.38865168539325845,1921.0,7.54,5.783130023766756,2.3843979879594404,0.0,0.0
UInt16[0x2866],4,1,11,8,600000,100.0,100.0,7885.655,3.896484167374597,0.32632022471910116,2741.0,8.07,6.808539886017969,2.3514401525745408,0.0,0.0
UInt16[0x2881],4,1,11,8,600000,100.0,100.0,6538.125,3.81542786604669,0.36662921348314603,2270.0,7.76,6.263224246900316,2.061261856611057,0.0,0.0
UInt16[0x28d3],4,1,11,8,600000,100.0,100.0,14535.3,4.162309539423877,0.28918539325842696,3394.0,8.415,7.067215070953573,2.460210687872695,0.0,0.0
UInt16[0x290c],4,1,11,8,600000,100.0,100.0,9800.59,3.9908310961541904,0.2996629213483146,3085.0,8.335,6.998130657728573,2.3314827996187057,0.0,0.0
UInt16[0x291d],4,1,11,8,600000,100.0,100.0,25484.735,4.404495526788079,0.245,4008.0,8.780000000000001,7.503606644264664,2.5695182092549294,0.0,0.0
UInt16[0x2968],4,1,11,8,600000,100.0,100.0,6414.17,3.807123812961764,0.3598033707865168,2632.0,7.76,6.246675138278627,2.3699704694740706,0.0,0.0
UInt16[0x2a20],4,1,11,8,600000,100.0,100.0,1277.335,3.105045697751915,0.4759550561797753,1271.0,6.76,4.9614194768003745,2.1716239074605377,0.0,0.0
UInt16[0x2a2f],4,1,11,8,600000,100.0,100.0,1108.045,3.041666932143139,0.461938202247191,1402.0,6.955,5.138154930753965,2.8478828386148898,0.0,0.0
UInt16[0x2a7a],4,1,11,8,600000,100.0,100.0,3937.64,3.595125195960886,0.34797752808988763,2048.0,7.955,6.236338411722626,2.6831765470341713,0.0,0.0
UInt16[0x2b14],4,1,11,8,600000,100.0,100.0,6836.505,3.834573905758348,0.30213483146067416,3008.0,8.405000000000001,6.906039644544699,2.546541997946851,0.0,0.0
UInt16[0x2b8a],4,1,11,8,600000,100.0,100.0,11720.54,4.068893496428132,0.29542134831460676,3246.0,8.370000000000001,6.691879177693848,2.669024075042908,0.0,0.0
UInt16[0x2ba0],4,1,11,8,600000,100.0,100.0,9982.91,3.9985262731816653,0.3087359550561798,2845.0,8.245000000000001,6.4448061528300435,2.5561353694741182,0.0,0.0
UInt16[0x2c1d],4,1,11,8,600000,100.0,100.0,13060.380000000001,4.115563825302617,0.2935112359550562,3079.0,8.4,6.849430614662191,2.638267056853492,0.0,0.0
UInt16[0x2ca9],4,1,11,8,600000,100.0,100.0,20789.85,4.312039165782897,0.23685393258426968,4144.0,8.92,7.346208643228873,2.5911835640057235,0.0,0.0
UInt16[0x2e38],4,1,11,8,600000,100.0,100.0,17530.82,4.243241134557602,0.2577247191011236,3822.0,8.71,7.157067116412829,2.7087016367430854,0.0,0.0
UInt16[0x2ed7],4,1,11,8,600000,100.5,100.0,20449.71,4.3081664440259,0.22404494382022472,4496.0,9.01,7.6815008832962235,2.522008073021561,0.0,0.0
UInt16[0x2f8a],4,1,11,8,600000,100.0,100.0,4023.81,3.6034096785776573,0.3677247191011236,2258.0,7.715,5.967271231364941,2.7022930834786445,0.0,0.0
UInt16[0x2fcc],4,1,11,8,600000,100.0,100.0,5790.264999999999,3.761748304239994,0.3698314606741573,2041.0,7.765000000000001,5.883962529219835,2.6844860527844454,0.0,0.0
UInt16[0x300d],4,1,11,8,600000,100.0,100.0,6705.06,3.825605201531803,0.38008426966292136,2256.0,7.715,6.051622944245466,2.445772966821523,0.0,0.0
UInt16[0x3012],4,1,11,8,600000,100.0,100.0,2936.5699999999997,3.4678202180457314,0.4169662921348315,1816.0,7.305,5.443916454151065,2.0488516540822292,0.0,0.0
UInt16[0x30c6],4,1,11,8,600000,100.0,100.0,8883.575,3.9485567172797755,0.32269662921348313,2891.0,8.14,6.794524708786355,2.4616248544946204,0.0,0.0
UInt16[0x31b8],4,1,11,8,600000,100.0,100.0,12401.255000000001,4.0934623730254405,0.29595505617977524,2818.0,8.370000000000001,6.638151489690365,2.678129241122615,0.0,0.0
UInt16[0x31c4],4,1,11,8,600000,100.0,100.0,1785.35,3.2517160700206293,0.44227528089887636,1547.0,7.175,5.4420090929594185,2.582782592931928,0.0,0.0
UInt16[0x3245],4,1,11,8,600000,100.0,100.0,6866.535,3.835740529167702,0.3066853932584269,2793.0,8.295,6.827485208987227,2.53728057701664,0.0,0.0
UInt16[0x3284],4,1,11,8,600000,100.0,100.0,7694.335,3.885624601657504,0.3116573033707865,2455.0,8.24,6.863085265552517,2.342195226345406,0.0,0.0
UInt16[0x3377],4,1,11,8,600000,100.0,100.0,323.9,2.509864371540462,0.5806460674157303,926.0,6.155,4.459643204374272,2.7077648713014124,0.0,0.0
UInt16[0x3514],4,1,11,8,600000,100.0,100.0,11623.89,4.060740578959163,0.2937359550561798,2816.0,8.45,6.609123460346362,2.5929198647511873,0.0,0.0
UInt16[0x358a],4,1,11,8,600000,100.0,100.0,9038.085,3.956071830978478,0.2887921348314607,2990.0,8.475000000000001,7.051277990714155,2.5573278312140477,0.0,0.0
UInt16[0x35d4],4,1,11,8,600000,100.0,100.0,11734.724999999999,4.069231177150757,0.30120786516853937,3062.0,8.315,6.7388171621259,2.682176769369679,0.0,0.0
UInt16[0x3780],4,1,11,8,600000,100.0,100.0,6474.885,3.8101485442685905,0.3726966292134831,2100.0,7.65,6.164321362091895,2.5128799528037065,0.0,0.0
UInt16[0x3781],4,1,11,8,600000,100.0,100.0,24499.265,4.389145921152314,0.2755056179775281,3579.0,8.515,6.891523129882652,2.693739098422575,0.0,0.0
UInt16[0x383a],4,1,11,8,600000,100.0,100.0,8509.89,3.9282310136057923,0.39042134831460673,1740.0,7.48,5.924197517075841,2.601188063974182,0.0,0.0
UInt16[0x38a2],4,1,11,8,600000,100.0,100.0,11645.135,4.0650331290765545,0.2560955056179775,3699.0,8.68,7.306407101976701,2.497731889949362,0.0,0.0
UInt16[0x3916],4,1,11,8,600000,100.0,100.0,14467.619999999999,4.160312040600856,0.28856741573033706,3522.0,8.385000000000002,7.040415548804068,2.3581984852102096,0.0,0.0
UInt16[0x396f],4,1,11,8,600000,100.0,100.0,10250.59,4.010444710549615,0.26705056179775283,3839.0,8.620000000000001,7.352562496808243,2.391186671179608,0.0,0.0
UInt16[0x3989],4,1,11,8,600000,100.0,100.0,11383.615,4.055508803695021,0.3018258426966292,3113.0,8.31,6.973247189584983,2.491086605052774,0.0,0.0
UInt16[0x3989],4,1,11,8,600000,100.0,100.0,12037.470000000001,4.07424739327408,0.3061797752808989,2652.0,8.295,6.953123443841296,2.531049400567589,0.0,0.0
UInt16[0x39d3],4,1,11,8,600000,100.0,100.0,9026.985,3.9546723645331405,0.32724719101123595,2923.0,8.030000000000001,6.804543157221792,2.3570533380345946,0.0,0.0
UInt16[0x3bd6],4,1,11,8,600000,100.0,100.0,21305.095,4.327300285877108,0.2467696629213483,4396.0,8.75,7.529952622340082,2.438930392941292,0.0,0.0
UInt16[0x3c5f],4,1,11,8,600000,100.0,100.0,2916.1099999999997,3.463995691064302,0.3687078651685393,2200.0,7.715,6.259940219231541,2.47785892262132,0.0,0.0
UInt16[0x3d08],4,1,11,8,600000,100.0,100.0,11290.695,4.050616325023725,0.30280898876404494,2944.0,8.3,6.581538641894564,2.562555493352982,0.0,0.0
UInt16[0x3d89],4,1,11,8,600000,100.0,100.0,18311.300000000003,4.260418300138344,0.22898876404494384,4263.0,9.0,7.638965644150444,2.5879414764291395,0.0,0.0
UInt16[0x3db9],4,1,11,8,600000,100.0,100.0,12242.57,4.086597480272859,0.2540168539325843,3514.0,8.79,7.429174822528951,2.5368722148770146,0.0,0.0
UInt16[0x3f4a],4,1,11,8,600000,100.0,100.0,13179.435000000001,4.116460381856015,0.3225280898876405,2517.0,8.19,6.454908149067253,2.6798037055567203,0.0,0.0
UInt16[0x3f69],4,1,11,8,600000,100.0,100.0,4936.360000000001,3.68923452962584,0.3275842696629213,2717.0,8.114999999999998,6.786924405530845,2.402133121862493,0.0,0.0
UInt16[0x3f84],4,1,11,8,600000,100.0,100.0,6190.4,3.7916842168109524,0.3434550561797753,2144.0,7.949999999999999,6.313194550609802,2.6709490816861656,0.0,0.0
UInt16[0x407a],4,1,11,8,600000,100.0,100.0,9753.15,3.985120798466615,0.3167134831460674,2361.0,8.235,6.542592565165505,2.5998986247018925,0.0,0.0
UInt16[0x40d8],4,1,11,8,600000,100.0,100.0,7087.405,3.850355205810872,0.3242415730337079,2343.0,8.135,6.464751608132205,2.441635687621523,0.0,0.0
UInt16[0x412a],4,1,11,8,600000,100.0,100.0,10428.54,4.018186125415243,0.31907303370786516,2480.0,8.114999999999998,6.744606088416771,2.2977923833399387,0.0,0.0
UInt16[0x4172],4,1,11,8,600000,100.0,100.0,3561.115,3.548490728355259,0.35985955056179775,2182.0,7.75,6.296279074051691,2.4614279549532214,0.0,0.0
UInt16[0x41cf],4,1,11,8,600000,100.0,100.0,5536.95,3.743137621472324,0.38508426966292136,1969.0,7.465,5.802620542849489,2.8549167440585292,0.0,0.0
UInt16[0x4309],4,1,11,8,600000,100.0,100.0,23302.9,4.367380024350928,0.26929775280898877,3869.0,8.56,7.281661350153858,2.273251419906728,0.0,0.0
UInt16[0x4372],4,1,11,8,600000,100.0,100.0,16562.015,4.219052526413922,0.26865168539325845,3351.0,8.605,7.116655286523992,2.59400131182194,0.0,0.0
UInt16[0x4386],4,1,11,8,600000,100.0,100.0,16838.975000000002,4.225631981258834,0.2676123595505618,3525.0,8.6,7.310756156433493,2.4800955050664664,0.0,0.0
UInt16[0x43bb],4,1,11,8,600000,100.0,100.0,7815.004999999999,3.8904277204875726,0.3269662921348314,2581.0,8.065000000000001,6.437011964362673,2.5660166902436536,0.0,0.0
UInt16[0x4455],4,1,11,8,600000,100.0,100.0,596.9300000000001,2.7750309056995284,0.520056179775281,913.0,6.635,4.918747566337136,2.6473611348179436,0.0,0.0
UInt16[0x447a],4,1,11,8,600000,100.0,100.0,11891.865000000002,4.072555466444783,0.281685393258427,2972.0,8.495000000000001,7.089272803070158,2.5594411226629656,0.0,0.0
UInt16[0x451f],4,1,11,8,600000,100.0,100.0,3119.825,3.494026456492369,0.4000280898876405,1920.0,7.35,5.480466760257546,2.733255426010458,0.0,0.0
UInt16[0x4560],4,1,11,8,600000,100.0,100.0,7804.745000000001,3.892192819599389,0.29396067415730337,2986.0,8.41,6.924673458692382,2.3786095654005055,0.0,0.0
UInt16[0x458d],4,1,11,8,600000,100.0,100.0,2515.12,3.400534857232246,0.40542134831460674,1753.0,7.300000000000001,5.613112116818881,2.710039572094849,0.0,0.0
UInt16[0x4594],4,1,11,8,600000,100.0,100.0,13919.195,4.141559862389206,0.27480337078651684,3904.0,8.559999999999999,7.032198475125436,2.3683896038463343,0.0,0.0
UInt16[0x45b8],4,1,11,8,600000,100.0,100.0,7719.805,3.887605671659619,0.3052247191011236,2997.0,8.19,6.807437392820689,2.5490674850939867,0.0,0.0
UInt16[0x45b8],4,1,11,8,600000,100.0,100.0,9317.92,3.9688778336010366,0.3033426966292135,2989.0,8.2,6.7561312633699515,2.4967617789720524,0.0,0.0
UInt16[0x4635],4,1,11,8,600000,100.0,100.0,19423.059999999998,4.287174225625946,0.2573314606741573,4038.0,8.620000000000001,7.328896429172671,2.4892356580925377,0.0,0.0
UInt16[0x466a],4,1,11,8,600000,100.0,100.0,13400.73,4.127127282978031,0.2854494382022472,3356.0,8.455,6.861820044392669,2.386021339093322,0.0,0.0
UInt16[0x46b2],4,1,11,8,600000,100.0,100.0,28315.730000000003,4.45165685711561,0.21578651685393258,4907.0,9.05,7.913489824844866,2.49693108218994,0.0,0.0
UInt16[0x470e],4,1,11,8,600000,100.0,100.0,15716.044999999998,4.195320651604369,0.3133988764044944,2673.0,8.195,6.457002825457513,2.571811704784203,0.0,0.0
UInt16[0x4757],4,1,11,8,600000,100.0,100.0,4399.095,3.643243698361476,0.4032022471910112,1733.0,7.44,5.600298881888948,2.6751293981124524,0.0,0.0
UInt16[0x475e],4,1,11,8,600000,100.0,100.0,16482.295,4.2139975645650845,0.28620786516853935,3513.0,8.425,6.87584525459156,2.6476679448444482,0.0,0.0
UInt16[0x47b0],4,1,11,8,600000,100.0,100.0,8077.645,3.906636458169112,0.3048595505617977,2944.0,8.215,6.832815220453668,2.5302973018029524,0.0,0.0
UInt16[0x4851],4,1,11,8,600000,100.0,100.0,8357.91,3.9207808652149048,0.30924157303370786,2880.0,8.22,6.811562779893661,2.348125900429091,0.0,0.0
