# date and time: 2022-05-23T10:01:54.776
# host: fluda.cs.umt.edu with 24  processes: 
# 8395.285683 seconds 
# funcs: Func[Func(&, 2, "AND"), Func(|, 2, "OR"), Func(xor, 2, "XOR"), Func(Main.CGP.Nand, 2, "NAND"), Func(Main.CGP.Nor, 2, "NOR")]
# use_lincircuit: true
# maxreps: 200
# iter_maxreps: 100
# numinputs: 4
# numoutputs: 1
# numinstructions: 10
# numregisters: 2
# max_steps: 600000
goal,numinputs,numoutputs,numinstructs,numregisters,maxsteps,ntries,nsuccesses,avg_steps,log_avg_steps,robustness,evo_count,nactive,complexity,degeneracy,sumsteps,sumtries
UInt16[0x0ee0],4,1,10,2,600000,100.0,100.0,16296.54,4.211774899333538,0.5474666666666667,726.0,0.0,6.987527717465919,0.0,0.0,0.0
UInt16[0x0f5f],4,1,10,2,600000,100.0,100.0,1009.0899999999999,3.003920697145971,0.6803666666666667,337.0,0.0,6.153429620841104,0.0,0.0,0.0
UInt16[0x0f8a],4,1,10,2,600000,100.0,100.0,32993.524999999994,4.513453275880632,0.3756,1155.0,0.0,7.0093675338726875,0.0,0.0,0.0
UInt16[0x0fe6],4,1,10,2,600000,100.5,100.0,38727.945,4.588023260919057,0.31520000000000004,1233.0,0.0,7.6690011797684114,0.0,0.0,0.0
UInt16[0x1088],4,1,10,2,600000,100.5,100.0,103874.89,5.015860293152697,0.3724,1502.0,0.0,7.0411263252559575,0.0,0.0,0.0
UInt16[0x10a4],4,1,10,2,600000,105.0,100.0,192793.87,5.284925430137751,0.3182666666666667,1725.0,0.0,7.493094310710996,0.0,0.0,0.0
UInt16[0x124b],4,1,10,2,600000,108.0,100.0,149769.775,5.172194632230934,0.23096666666666665,2399.0,0.0,7.74322200013007,0.0,0.0,0.0
UInt16[0x12e9],4,1,10,2,600000,102.0,100.0,129325.98999999999,5.1035986382018415,0.2578333333333333,1920.0,0.0,8.111018249286353,0.0,0.0,0.0
UInt16[0x130b],4,1,10,2,600000,102.0,100.0,97454.33,4.9872253151475805,0.26336666666666664,1947.0,0.0,7.332288513788667,0.0,0.0,0.0
UInt16[0x1312],4,1,10,2,600000,100.0,100.0,58193.494999999995,4.7645541988909095,0.3638,924.0,0.0,6.991542205002695,0.0,0.0,0.0
